contract_size,ua_tse_code,ua_ticker,ua_close_price,ua_yesterday_price,begin_date,end_date,strike_price,days_to_maturity,tse_code,last_price,open_positions,close_price,yesterday_price,notional_value,trades_value,trades_volume,trades_num,name,ticker,bid_price,bid_volume,ask_price,ask_volume,yesterday_open_positions,option_type
1000,17914401175772326,اهرم,21900,21300,20231204,20240515,15000,58,33251497548902575,7000,2,7000,7000,0.0,0.0,0,0,اختيارخ اهرم-15000-1403/02/26,ضهرم2003,7700,1,8065,1,2,call
1000,42799209630949274,بهين رو,11130,11080,20231115,20240619,7500,93,20425502209471985,4140,3538,4140,4140,0.0,0.0,0,0,اختيارخ بهين رو-7500-03/03/30,ضهين0301,3600,100,4940,100,3538,call
1000,26824673819862694,خبهمن,1915,1894,20240109,20240417,1500,30,40425613666758430,470,288,470,470,0.0,0.0,0,0,اختيارخ خبهمن-1500-1403/01/29,ضهمن0101,0,0,0,0,288,call
1000,34557241988629814,بركت,5670,5580,20240227,20240710,3750,114,59505935608831882,1,0,1,1,0.0,0.0,0,0,اختيارخ بركت-3750-1403/04/20,ضبرك4001,1,1000,4485,200,0,call
1000,46348559193224090,فولاد,4976,4826,20240305,20240619,6000,93,45868739548603037,1,0,1,1,0.0,0.0,0,0,اختيارخ فولاد-6000-1403/03/30,ضفلا3037,0,0,0,0,0,call
1000,48990026850202503,خگستر,5130,5040,20240224,20240717,5000,121,48202454112146247,1,0,1,1,0.0,0.0,0,0,اختيارخ خگستر-5000-1403/04/27,ضستر4006,1,2000,0,0,0,call
1000,65883838195688438,خودرو,3229,3179,20240107,20240424,3000,37,4915843094485723,420,604177,406,385,16257626000.0,2046474000.0,5038,28,اختيارخ خودرو-3000-1403/02/05,ضخود2045,385,814,420,737,604051,call
1300,35425587644337450,فملي,6840,6560,20231127,20240407,6923,20,23037893882015080,500,22,500,500,0.0,0.0,0,0,اختيارخ فملي-6923-1403/01/19,ضملي0108,0,0,500,142,22,call
1000,35366681030756042,شبندر,11120,10710,20240302,20240626,7000,100,55859299141576,1,0,1,1,0.0,0.0,0,0,اختيارخ شبندر-7000-1403/04/06,ضبدر4002,1,1000,0,0,0,call
1634,7745894403636165,شپنا,5660,5470,20231225,20240428,3977,41,3883478034059225,1600,7008,1600,1600,0.0,0.0,0,0,اختيارخ شپنا-3977-1403/02/09,ضشنا2035,0,0,0,0,7008,call
1000,64216772923447100,شتاب,10770,10410,20231030,20240424,13000,37,35815717963426194,51,6425,51,51,0.0,0.0,0,0,اختيارخ شتاب-13000-1403/02/05,ضتاب0209,61,30,222,1,6425,call
