contract_size,ua_tse_code,ua_ticker,ua_close_price,ua_yesterday_price,begin_date,end_date,strike_price,days_to_maturity,tse_code,last_price,open_positions,close_price,yesterday_price,notional_value,trades_value,trades_volume,trades_num,name,ticker,bid_price,bid_volume,ask_price,ask_volume,yesterday_open_positions,option_type
1000,17914401175772326,اهرم,15220,15360,20241019,20250312,14000,124,51353774030898595,3020,331,3020,3259,15220000.0,3020000.0,1,1,اختيارخ اهرم-14000-1403/12/22,ضهرم1236,2000,100,3529,109,331,call
1000,26824673819862694,خبهمن,1368,1383,20241021,20250216,2000,100,10810035312950750,1,0,1,1,0.0,0.0,0,0,اختيارخ خبهمن-2000-1403/11/28,ضهمن1123,1,600,0,0,0,call
1000,778253364357513,وبملت,2022,2006,20241019,20250212,1700,96,40915168339213838,356,4,356,356,0.0,0.0,0,0,اختيارخ وبملت-1700-1403/11/24,ضملت1166,325,6,0,0,4,call
1000,28320293733348826,وبصادر,1506,1534,20240810,20241211,1300,33,54865125783536805,400,10,400,400,0.0,0.0,0,0,اختيارخ وبصادر-1300-1403/09/21,ضصاد9015,0,0,0,0,10,call
1000,63917421733088077,وتجارت,1306,1331,20240914,20250108,1900,61,62825301833156696,1,0,1,1,0.0,0.0,0,0,اختيارخ وتجارت-1900-1403/10/19,ضجار1062,1,100,0,0,0,call
1000,48990026850202503,خگستر,3112,3169,20240831,20241225,2600,47,60960409968859293,1,0,1,1,0.0,0.0,0,0,اختيارخ خگستر-2600-1403/10/05,ضستر1015,20,150,0,0,0,call
1000,43362635835198978,هاي وب,609,613,20240819,20241204,700,26,44214149739652950,30,100,30,30,0.0,0.0,0,0,اختيارخ هاي وب-700-1403/09/14,ضهاي9017,0,0,0,0,100,call
1000,65883838195688438,خودرو,2248,2246,20240803,20241225,2200,47,44297440721959768,234,69384,234,201,35536384000.0,3705800000.0,15808,172,اختيارخ خودرو-2200-1403/10/05,ضخود1083,235,10,245,35,69384,call
1000,35425587644337450,فملي,6050,6090,20240928,20250122,7000,75,21752106888956614,380,52,376,376,0.0,0.0,0,0,اختيارخ فملي-7000-1403/11/03,ضملي1194,9,140,0,0,52,call
1000,7745894403636165,شپنا,2976,2945,20241102,20250226,3000,110,48743345375723296,1,0,1,1,0.0,0.0,0,0,اختيارخ شپنا-3000-1403/12/08,ضشنا1215,210,115,0,0,0,call
